Title,Organizations,Publication Year,Abstracts
"Properties and performance of microemulsion fuel: blending of jatropha oil, diesel, and ethanol- surfactant","Chulalongkorn University, Chulalongkorn University, Phutthamonthon, Khlong Luang, Pathumwan",2022,"© 2017 Elsevier LtdTo assure energy security source, a renewable nonedible plant such as Jatropha curcas oil (JCO) is attractive as a feedstock. However, the high viscosity of this vegetable oil is the main limitation on its fuel properties and makes it unsuitable for direct application in current diesel engines. Microemulsification is an alternative method for fuel production that reduces the by-products from the transesterification process. In this research, microemulsion fuels (MFs) were produced from crude JCO, diesel and ethanol in the presence of a surfactant. Three formulations of MFs with various composition of diesel and an ethanol-surfactant ratio were examined in terms of their biodiesel characteristics, performance and emission levels. For instance MF(E5), MF(E5)-LS1 and MF(E10)-LS1 were MFs without surfactant, ME with 5% and 10% of the ethanol-surfactant component, respectively. The high heating value, kinematic viscosity and water content of the MFs were close to the biodiesel standard and compatible for use with diesel engines. In addition, the MF(E5), gave an engine power, brake specific fuel consumption and exhaust gas temperature similar to those of petroleum-derived diesel. The emissions from these MFs showed a lower smoke emission than that of diesel, while the CO and CO2 emissions were similar to those of diesel. Thus MF(E5) showed great potential for use as biofuel with less exhaust smoke emission in diesel engines without modification."
Recent Membrane Developments for CO2 Separation and Capture,"Faculty of Engineering, National Science and Technology Development Agency",2020,"© 2018 WILEY-VCH Verlag GmbH & Co. KGaA, WeinheimIncreasing concerns on global warming and climate change have led to numerous attempts and advanced technology developments to tackle the problem of excessive greenhouse gases emitted to the atmosphere. One of the technical strategies receiving great attention is the application of membrane technology for greenhouse gas separation/capture. Such technology exhibits significant advantages over other conventional methods in terms of removal efficiency, compactness, and environmental friendliness. Many state-of-the-art membrane developments as well as its applications to post-combustion treatment, which could be a promising approach for reducing CO2 emission from point sources, are thoroughly reviewed. Furthermore, a comprehensive survey on the future perspective of membrane technologies as a potential solution for CO2 removal and utilization is provided."
Cryopreservation of sperm from the coral Acropora humilis,"Chulalongkorn University, Mingdao University, Mingdao University, National Museum of Marine Biology & Aquarium, National Dong Hwa University",2023,"© 2017 Elsevier Inc.Corals are sensitive to minute changes in their environments, and their continued existence is substantially threatened by the increasing number of destructive anthropogenic activities and unprecedented rates of climate change. Although cryopreservation has been successfully to preserve mammalian gametes for decades, coral cryopreservation was attempted for the first time less than 15 years ago, and freezing protocols exist for only a handful of coral species. The present study developed a cryopreservation protocol for the sperm of the common Indo-Pacific reef-builder Acropora humilis. Colonies of reefs of Sattahip Bay, Chonburi Province, Thailand were collected from 3 m depth with a mesh net during a spawning event. Immediately after collection, the sperm were isolated and subjected to a two-step freezing method featuring DMSO, polyethylene glycol, or methanol as the cryoprotectant. Viability and motility were assessed via a bioluminescence technique and a “computer-assisted semen analysis, and it was found that a 15-min equilibration with 2 M DMSO followed by cooling at 41.7 °C was the optimum cryopreservation protocol for A. humilis sperm. The post-thaw sperm achieved 45% fertilization success, and 35% of the fertilized eggs developed into blastopore larvae. The present optimized protocol can therefore facilitate the preservation of sperm for future propagation efforts of this species and provide an experimental platform for optimizing cryopreservation protocols for gametes of other scleractinian coral species."
"Flow budget change of groundwater system under climate change in the upper central plain, Thailand",Chulalongkorn University,2020,"© 2018, Chulalongkorn University. All rights reserved.The Upper Central Plain of Thailand, where farmers depended on both surface water and groundwater. Water allocated from the Bhumibol and Sirikit Dams are limited and caused water shortage in the dry years. Most farmers turn to use groundwater to supplement irrigation water in the dry years. This study aims to understand the flow budget change of groundwater under climate change scenario. The conjunctive use ratio of surfaceas well as groundwater were investigated by field surveys and groundwater flow modeling, using the MODFLOW model to simulate the groundwater movement over the 10 years. The study used the bias-corrected MRI-GCM data to project the future climate conditions (during 2015 -2029 and 2075-2089) and assess the impact on flow budget change of groundwater system. The conjunctive use ratio were analyzed from surface water use and flow budget of groundwater system in term of water demand, rainfall, reservoir storage, groundwater recharge, groundwater storage, groundwater pumping. The study shows the flow budget change and conjunctive use ratio of each season and water year in the past and in the future under climate change scenarios."
The influence of building envelop materials on its life cycle performance: A case study of educational building in Thailand,"Chulalongkorn University, Chulalongkorn University, National Metal and Materials Technology Center, Thammasat University Rangsit Campus",2020,"© 2018 Trans Tech Publications, Switzerland.The analysis of life cycle energy (LCE) and life cycle carbon (LCC) of building were performed in this study in order to identify the solutions for reducing energy-related carbon emission throughout building life time. The influence factors associated with building envelop materials (wall, insulation, window, window-to-wall ratio) were evaluated. The result showed that operation phase contributed a vast majority (>90%) of LCE and LCC. Only 4% emissions saving could be achieved if autoclaved aerated concrete block, cellulose insulation and triple glazing were implemented with WWR of 0.17. The finding suggested that reducing carbon emission should not only be prioritized through use of high energy efficient materials/technologies but should also integrate energy saving measures since energy demand in tropical country is quite high for cooling building. In addition, increasing a possibility and feasibility for supplying renewable energy should be further investigated importunately."
CO2 geological storage coupled with water alternating gas for enhanced oil recovery,Chulalongkorn University,2020,"Copyright © 2018, AIDIC Servizi S.r.l.Due to the climate change and global warming, the concern about CO2 emission into the atmosphere has been raised in many industries such as oil and gas business. The sources of CO2 include natural gas processing and other processes. The current technology to mitigate CO2 is carbon capture, storage and utilisation. At the same time, oil production is expected to increase due to the higher consumption. CO2 geological storage in depleting oilfield coupled with enhanced oil recovery can be a better technology to meet both requirements. The excellent example of this technology is the Weyburn Project in Canada that can store CO2 and produce more oil as well as prolong the reservoir life. From this successful project, the technology is studied by applying it with the depleting oilfield for both oil production and CO2 storage in the North of Thailand by using simulation model. It becomes the objective of this research, which is to evaluate CO2 geological storage coupled with water alternating gas (WAG) for enhanced oil recovery as well as to study the effects the parameters, such as total hydrocarbon pore volume (HCPV) injection and WAG ratio, on oil production and CO2 consumption and sequestration for enhanced oil recovery, with the added benefit of carbon sequestration. CMG software from Computer Modeling Group Ltd. is used to create the 3D simulation model to predict the CO2 storage in the geological formation. From the simulation, the results reported that oil can be produced up to 125,976 m3 of oil or 57 % recovery, CO2 consumption is 66,261 m3 of gas and CO2 utilisation is approximately 0.53 m3 of gas per m3 of oil. The main parameters for WAG process is WAG ratio in that oil production increases as WAG ratio increases. CO2 consumption increases with total HCPV injection. The results of this study can be applied to develop the CO2 enhanced oil recovery (EOR) in the depleting oilfield in the North of Thailand for both oil production and CO2 storage."
Mixture of MEA/2-MAE for effective CO2 capture from flue gas stream,"Chulalongkorn University, Chulalongkorn University",2020,"Copyright © 2018, AIDIC Servizi S.r.l.The climate change and global warming are the main environmental concerns because of CO2 emission into the atmosphere. The main sources of CO2 is from power plants in the form of flue gas. Recently, the effective technology to capture CO2 is chemical absorption by using aqueous amine solutions. The commonly used amine solution is monoethanolamine (MEA). It has disadvantages like low capacity and high energy consumption. 2-methylaminoethanol (2-MAE) as a new solvent has been formulated to improve the performance of CO2 mitigation but the cost of this chemical is higher. The two amines are mixed together to obtain higher performance and to compensate the drawbacks of each solvents. The objective of this research is to measure the solubility of CO2 in a mixed solvent with 20: 10 wt% of MEA and 2-MAE for CO2 capture from the flue gas stream at the temperature of 313.15 K and 353.15 K and CO2 partial pressures ranging from 5 to 100 kPa. The experimental results are compared with that of single solution of MEA and 2-MAE at the same conditions. From the results, it is reported that in term of cyclic capacity, the amine mixture provides a better performance, which is higher than that of MEA ranging from 2.35 % to 61.90 % but lower than that of 2-MAE from 8.76 % to 43.45 %. The rate of CO2 loading of mixed solution is relatively close to that of MEA but lower than that of 2-MAE. Therefore, in the future, the mixed solvent may be used as an alternative solution for CO2 capture instead of using single amine."
"Leaf litter decomposition in headwater streams, nam nao national park, Thailand","Khon Kaen University, Khon Kaen University, Chulalongkorn University",2022,"© 2018, Thai Society of Higher Eduation Institutes on Environment. All rights reserved.Objectives of this research are to investigate long-term responses of leaf litter decomposition rates involved some abiotic factors and colonized macroinvertebrates in leaf litter bags at headwater streams, Nam Nao National Park by comparing data between 2002 and 2014. Three grams dry weight of Bambusa arundinacea Willd. was put in an individual nylon bag and they were placed in riffles and pools at 2 streams. These litter bags from each stream were retrieved every 2 weeks of immersion. Results showed that leaf breakdown rates were more rapidly in riffle than in pool and the rate was faster at Phromlaeng stream than those of Yakruae stream in both years. Increasing of water velocity was considered to increase leaf decay. Macroinvertebrates colonizing in the leaf litter bags was similar in 2002 and 2014. In both years, Dipteran and Ephemeropteran larvae were the most abundant (more than 50%) in the litter bags throughout the study, which were primarily collector-gatherers in the leaf litter bags. Shredders directly consumed leaves and other coarse particle organic matters were low abundance. Collector-filters were more abundant in riffle. Scrappers and predators did not feed on detritus, but they utilized the litter bag for shelter. In conclusion, decomposition rate was more rapidly caused by increasing water velocity. Increase in water velocity was a consequence of increase in precipitation which was directly related to climate change."
Optimal operation of CCHP and renewable generation-based energy hub considering environmental perspective: An epsilon constraint and fuzzy methods,"Xi'an Technological University, University of Bonab, Chulalongkorn University, Islamic Azad University",2021,"© 2019 Elsevier LtdIn this paper, multi-energy hub system is analyzed in the presence of renewable energy sources. The provided multi-objective model is provided to reducing the carbon emission and operation cost. Also, real-time rates of demand response program (DRP) is used in this paper to improve the flexibility of system. The ε-constraint approach is used to solve the provided multi-objective model. Furthermore, fuzzy technique is used to select the trade-off result through the optimal obtained solutions The provided MIP-based hub system is solved utilizing the GAMS software in two cases with the aim of analyzing the effects of real-time based DRP. The obtained results demonstrate that the carbon emission and operation cost are decreased 1.81% and 4% in the presence of the real-time DRP, respectively."
Elemental composition of biochar obtained from agriculturalwaste for soil amendment and carbon sequestration,"Chulalongkorn University, Chulalongkorn University",2022,"© 2019 by the authors.For an agricultural country such as Thailand, converting agricultural waste into biochar offers a potential solution to manage massive quantities of crop residues following harvest. This research studied the structure and chemical composition of biochar obtained from cassava rhizomes, cassava stems and corncobs, produced using a patented locally-manufactured biochar kiln using low-cost appropriate technology designed to be fabricated locally by farmers. The research found that cassava stems yielded the highest number of Brunauer-Emmett-Teller (BET) surface area in the biochar product, while chemical analysis indicated that corncobs yielded the highest amount of C (81.35%). The amount of H in the corncob biochar was also the highest (2.42%). The study also showed biochar produced by slow pyrolysis was of a high quality, with stable C and low H/C ratio. Biochar's high BET surface area and total pore volume makes it suitable for soil amendment, contributing to reduced soil density, higher soil moisture and aeration and reduced leaching of plant nutrients from the rhizosphere. Biochar also provides a conducive habitat for beneficial soil microorganisms. The findings indicate that soil incorporation of biochar produced from agricultural crop residues can enhance food security and mitigate the contribution of the agricultural sector to climate change impacts."
"Financial development, market freedom, political stability, economic growth and CO2 emissions: An unexplored nexus in asean countries","Taylor’s University, Suan Sunandha Rajabhat University, Chulalongkorn University",2023,"© 2019, University of Economics and Human Sciences in Warsaw and Vistula University. All rights reserved.The prime objective of the current study is to explore the nexus among financial development, market freedom, political stability, economic growth and CO2 emissions in ASEAN countries. The present study has attempted to examine the asymmetric association among financial development, CO2 emissions, and economic growth. The data for the variables are obtained from the World Bank. The CO2 emission is measured in kilotons. The Johansen cointegration technique has been used for analyzing the long-term association. The results of the political freedom model indicate that in countries where there will be political stability, their CO2 emission will be low. A number of research papers have investigated the relationship between the environment and political freedom. A positive relationship has been found by most of the studies; however, these studies have not taken CO2 emissions into account. The probability of making agreements at international conferences is directly linked with the political freedom to lower the level of global pollutants. This study proves that the implementation of such agreements has started recently and a significant impact of political freedom on emissions cannot yet be finalized with the limited data available. Financial development appears to have a significant relationship with carbon emission. This study will be helpful for policymakers and researchers in understanding the issues related to financial development, market freedom, political stability, and economic growth and CO2 emissions in ASEAN countries."
Challenges of Energy Efficiency Promoting Policy in Thailand,"Chulalongkorn University, Chulalongkorn University",2019,"© Published under licence by IOP Publishing Ltd.Energy efficiency enhancement is well recognized worldwide as the efficient measures to deal with energy-related challenges, which are economic growth and development, energy security, and climate change. For Thailand to accelerate energy efficiency implementation, the energy development plan is set to meet the national targets including the Energy Efficiency Plan target and to achieve the Greenhouse Gas emission reduction target. In many countries, financing energy efficiency promoting policy is critically important strategy to provide financial incentive for mitigating clean energy investment barrier. For long-term public support, there is an emerging body of evidence on the on-going practice and performance of the financial incentive programs, which offers an opportunity to improve our understanding of the energy efficiency promoting policy. This study reviewed the latest situation of three energy efficiency financial incentive programs that governed by Department of Alternative Energy Development and Energy Efficiency (DEDE), which are (1) Energy Efficiency Revolving Fund (EERF), (2) Energy Service Company Revolving Fund (ESCO Fund), (3) DEDE Demand Side Management Bidding (DSM Bidding). The study aims to examine the positive and negative challenges posed by existing policies that need to be overcome and to identify the opportunities for policy improvement to more effectively promote energy efficiency implementation. EERF and DSM Bidding are suitably designed for large company who has strong financial capacity. ESCO Fund is well-designed for low collateral capacity company. EE measures under EERF are mostly well-known technologies that are proven generating energy savings. ESCO Fund is suitable for promoting new technologies according to project-based analysing basis. DSM Bidding can be designed for wide-range EE measures from simple to complex measures. However, there are some main challenges that can be improved, i.e., technical and financial risks bearing by customers from EERF, default projects risk taken by government and insufficient to encourage EE investment of low interest rate from ESCO Fund, and expanding to support more for complex technology instead of only well-known technology for DSM Bidding."
Refining the adaptive capacity framework for world heritage management,Chulalongkorn University,2023,"© 2019 Nakhara: Journal of Environmental Design and Planning. All rights reserved.Well-developed in the context of climate change, the concept of adaptive capacity has so far not been applied extensively to the study of World Heritage management. This paper applies the analytic framework of adaptive capacity to better understand how institutional attributes enable or hinder systemic adaptation in managing World Heritage sites as boundaries of practice expand due to changing concepts of heritage and emerging management challenges. Drawing upon case studies from Southeast Asia, the study proposes a refined framework with the following dimensions of adaptive capacity: cognitive frames, learning capacity, resources, formal governance measures, organizational relationships, and agency."
Syngas production from combined steam gasification of biochar and a sorption-enhanced water-gas shift reaction with the utilization of CO2,"King Mongkut's University of Technology North Bangkok, Phayathai Road,Wang Mai, Pathumwan Institute of Technology, Pathumwan Institute of Technology, National Science and Technology Development Agency (NSTDA), Chulalongkorn University",2020,"© 2019 by the authors.This research aims at evaluating the performance of a combined system of biochar gasification and a sorption-enhanced water-gas shift reaction (SEWGS) for synthesis gas production. The effects of mangrove-derived biochar gasification temperature, pattern of combined gasification and SEWGS, amount of steam and CO2 added as gasifying agent, and SEWGS temperature were studied in this work. The performances of the combined process were examined in terms of biochar conversion, gaseous product composition, and CO2 emission. The results revealed that the hybrid SEWGS using one-body multi-functional material offered a greater amount of H2 with a similar amount of CO2 emissions when compared with separated sorbent/catalyst material. The gasification temperature of 900 °C provided the highest biochar conversion of ca. 98.7%. Synthesis gas production was found to depend upon the amount of water and CO2 added and SEWGS temperature. Higher amounts of H2 were observed when increasing the amount of water and the temperature of the SEWGS system."
Appliance Classification Method Based on K-Nearest Neighbors for Home Energy Management System,"Ho Chi Minh City University of Technology and Education, University of Architecture, Chulalongkorn University",2022,"© 2019 IEEE.Saving energy is one of the biggest concerns nowadays in order to deal with lacking fossil fuel and climate change. One possible approach is using the Home Energy Management System (HEMS) to monitor and manage the electrical usage at residential user. One useful feature of HEMS is the capability of detecting and identifying electrical appliances in order to assign these appliances to join many saving energy programs such as Time-Of-Use or Demand Response. In this paper, we propose an appliance classification approach based on K-Nearest Neighbors (KNN) technique. KNN is extensively used classification algorithm owing to its simplicity, ease of implementation and effectiveness. The inputs we used to calculate the Euclidean distance in KNN are the root mean square (RMS) of voltage, current and the active power of appliance. We also implement a HEMS prototype includes many smart plug-in devices and a MQTT server. The appliance classification results show that our KNN classifier can be a suitable approach for appliance classification feature of HEMS."
