Organizations,Processed_Abstracts
"Chulalongkorn University, Chulalongkorn University, Phutthamonthon, Khlong Luang, Pathumwan",2017 elsevier ltdto assure energy security source renewable nonedible plant jatropha curcas oil jco attractive feedstock however high viscosity vegetable oil main limitation fuel properties makes unsuitable direct application current diesel engines microemulsification alternative method fuel production reduces byproducts transesterification process research microemulsion fuels mfs produced crude jco diesel ethanol presence surfactant three formulations mfs various composition diesel ethanolsurfactant ratio examined terms biodiesel characteristics performance emission levels instance mfe5 mfe5ls1 mfe10ls1 mfs without surfactant 5 10 ethanolsurfactant component respectively high heating value kinematic viscosity water content mfs close biodiesel standard compatible use diesel engines addition mfe5 gave engine power brake specific fuel consumption exhaust gas temperature similar petroleumderived diesel emissions mfs showed lower smoke emission diesel co co2 emissions similar diesel thus mfe5 showed great potential use biofuel less exhaust smoke emission diesel engines without modification
"Faculty of Engineering, National Science and Technology Development Agency",2018 wileyvch verlag gmbh co kgaa weinheimincreasing concerns global warming climate change led numerous attempts advanced technology developments tackle problem excessive greenhouse gases emitted atmosphere one technical strategies receiving great attention application membrane technology greenhouse gas separationcapture technology exhibits significant advantages conventional methods terms removal efficiency compactness environmental friendliness many stateoftheart membrane developments well applications postcombustion treatment promising approach reducing co2 emission point sources thoroughly reviewed furthermore comprehensive survey future perspective membrane technologies potential solution co2 removal utilization provided
"Chulalongkorn University, Mingdao University, Mingdao University, National Museum of Marine Biology & Aquarium, National Dong Hwa University",2017 elsevier inccorals sensitive minute changes environments continued existence substantially threatened increasing number destructive anthropogenic activities unprecedented rates climate change although cryopreservation successfully preserve mammalian gametes decades coral cryopreservation attempted first time less 15 years ago freezing protocols exist handful coral species present study developed cryopreservation protocol sperm common indopacific reefbuilder acropora humilis colonies reefs sattahip bay chonburi province thailand collected 3 m depth mesh net spawning event immediately collection sperm isolated subjected twostep freezing method featuring dmso polyethylene glycol methanol cryoprotectant viability motility assessed via bioluminescence technique “computerassisted semen analysis found 15min equilibration 2 m dmso followed cooling 417 °c optimum cryopreservation protocol humilis sperm postthaw sperm achieved 45 fertilization success 35 fertilized eggs developed blastopore larvae present optimized protocol therefore facilitate preservation sperm future propagation efforts species provide experimental platform optimizing cryopreservation protocols gametes scleractinian coral species
Chulalongkorn University,2018 chulalongkorn university rights reservedthe upper central plain thailand farmers depended surface water groundwater water allocated bhumibol sirikit dams limited caused water shortage dry years farmers turn use groundwater supplement irrigation water dry years study aims understand flow budget change groundwater climate change scenario conjunctive use ratio surfaceas well groundwater investigated field surveys groundwater flow modeling using modflow model simulate groundwater movement 10 years study used biascorrected mrigcm data project future climate conditions 2015 2029 20752089 assess impact flow budget change groundwater system conjunctive use ratio analyzed surface water use flow budget groundwater system term water demand rainfall reservoir storage groundwater recharge groundwater storage groundwater pumping study shows flow budget change conjunctive use ratio season water year past future climate change scenarios
"Chulalongkorn University, Chulalongkorn University, National Metal and Materials Technology Center, Thammasat University Rangsit Campus",2018 trans tech publications switzerlandthe analysis life cycle energy lce life cycle carbon lcc building performed study order identify solutions reducing energyrelated carbon emission throughout building life time influence factors associated building envelop materials wall insulation window windowtowall ratio evaluated result showed operation phase contributed vast majority 90 lce lcc 4 emissions saving achieved autoclaved aerated concrete block cellulose insulation triple glazing implemented wwr 017 finding suggested reducing carbon emission prioritized use high energy efficient materialstechnologies also integrate energy saving measures since energy demand tropical country quite high cooling building addition increasing possibility feasibility supplying renewable energy investigated importunately
Chulalongkorn University,2018 aidic servizi srldue climate change global warming concern co2 emission atmosphere raised many industries oil gas business sources co2 include natural gas processing processes current technology mitigate co2 carbon capture storage utilisation time oil production expected increase due higher consumption co2 geological storage depleting oilfield coupled enhanced oil recovery better technology meet requirements excellent example technology weyburn project canada store co2 produce oil well prolong reservoir life successful project technology studied applying depleting oilfield oil production co2 storage north thailand using simulation model becomes objective research evaluate co2 geological storage coupled water alternating gas wag enhanced oil recovery well study effects parameters total hydrocarbon pore volume hcpv injection wag ratio oil production co2 consumption sequestration enhanced oil recovery added benefit carbon sequestration cmg software computer modeling group ltd used create 3d simulation model predict co2 storage geological formation simulation results reported oil produced 125976 m3 oil 57 recovery co2 consumption 66261 m3 gas co2 utilisation approximately 053 m3 gas per m3 oil main parameters wag process wag ratio oil production increases wag ratio increases co2 consumption increases total hcpv injection results study applied develop co2 enhanced oil recovery eor depleting oilfield north thailand oil production co2 storage
"Chulalongkorn University, Chulalongkorn University",2018 aidic servizi srlthe climate change global warming main environmental concerns co2 emission atmosphere main sources co2 power plants form flue gas recently effective technology capture co2 chemical absorption using aqueous amine solutions commonly used amine solution monoethanolamine mea disadvantages like low capacity high energy consumption 2methylaminoethanol 2mae new solvent formulated improve performance co2 mitigation cost chemical higher two amines mixed together obtain higher performance compensate drawbacks solvents objective research measure solubility co2 mixed solvent 20 10 wt mea 2mae co2 capture flue gas stream temperature 31315 k 35315 k co2 partial pressures ranging 5 100 kpa experimental results compared single solution mea 2mae conditions results reported term cyclic capacity amine mixture provides better performance higher mea ranging 235 6190 lower 2mae 876 4345 rate co2 loading mixed solution relatively close mea lower 2mae therefore future mixed solvent may used alternative solution co2 capture instead using single amine
"Khon Kaen University, Khon Kaen University, Chulalongkorn University",2018 thai society higher eduation institutes environment rights reservedobjectives research investigate longterm responses leaf litter decomposition rates involved abiotic factors colonized macroinvertebrates leaf litter bags headwater streams nam nao national park comparing data 2002 2014 three grams dry weight bambusa arundinacea willd put individual nylon bag placed riffles pools 2 streams litter bags stream retrieved every 2 weeks immersion results showed leaf breakdown rates rapidly riffle pool rate faster phromlaeng stream yakruae stream years increasing water velocity considered increase leaf decay macroinvertebrates colonizing leaf litter bags similar 2002 2014 years dipteran ephemeropteran larvae abundant 50 litter bags throughout study primarily collectorgatherers leaf litter bags shredders directly consumed leaves coarse particle organic matters low abundance collectorfilters abundant riffle scrappers predators feed detritus utilized litter bag shelter conclusion decomposition rate rapidly caused increasing water velocity increase water velocity consequence increase precipitation directly related climate change
"Xi'an Technological University, University of Bonab, Chulalongkorn University, Islamic Azad University",2019 elsevier ltdin paper multienergy hub system analyzed presence renewable energy sources provided multiobjective model provided reducing carbon emission operation cost also realtime rates demand response program drp used paper improve flexibility system εconstraint approach used solve provided multiobjective model furthermore fuzzy technique used select tradeoff result optimal obtained solutions provided mipbased hub system solved utilizing gams software two cases aim analyzing effects realtime based drp obtained results demonstrate carbon emission operation cost decreased 181 4 presence realtime drp respectively
"Chulalongkorn University, Chulalongkorn University",2019 authorsfor agricultural country thailand converting agricultural waste biochar offers potential solution manage massive quantities crop residues following harvest research studied structure chemical composition biochar obtained cassava rhizomes cassava stems corncobs produced using patented locallymanufactured biochar kiln using lowcost appropriate technology designed fabricated locally farmers research found cassava stems yielded highest number brunaueremmettteller bet surface area biochar product chemical analysis indicated corncobs yielded highest amount c 8135 amount h corncob biochar also highest 242 study also showed biochar produced slow pyrolysis high quality stable c low hc ratio biochars high bet surface area total pore volume makes suitable soil amendment contributing reduced soil density higher soil moisture aeration reduced leaching plant nutrients rhizosphere biochar also provides conducive habitat beneficial soil microorganisms findings indicate soil incorporation biochar produced agricultural crop residues enhance food security mitigate contribution agricultural sector climate change impacts
"Taylor’s University, Suan Sunandha Rajabhat University, Chulalongkorn University",2019 university economics human sciences warsaw vistula university rights reservedthe prime objective current study explore nexus among financial development market freedom political stability economic growth co2 emissions asean countries present study attempted examine asymmetric association among financial development co2 emissions economic growth data variables obtained world bank co2 emission measured kilotons johansen cointegration technique used analyzing longterm association results political freedom model indicate countries will political stability co2 emission will low number research papers investigated relationship environment political freedom positive relationship found studies however studies taken co2 emissions account probability making agreements international conferences directly linked political freedom lower level global pollutants study proves implementation agreements started recently significant impact political freedom emissions cannot yet finalized limited data available financial development appears significant relationship carbon emission study will helpful policymakers researchers understanding issues related financial development market freedom political stability economic growth co2 emissions asean countries
"Chulalongkorn University, Chulalongkorn University",published licence iop publishing ltdenergy efficiency enhancement well recognized worldwide efficient measures deal energyrelated challenges economic growth development energy security climate change thailand accelerate energy efficiency implementation energy development plan set meet national targets including energy efficiency plan target achieve greenhouse gas emission reduction target many countries financing energy efficiency promoting policy critically important strategy provide financial incentive mitigating clean energy investment barrier longterm public support emerging body evidence ongoing practice performance financial incentive programs offers opportunity improve understanding energy efficiency promoting policy study reviewed latest situation three energy efficiency financial incentive programs governed department alternative energy development energy efficiency dede 1 energy efficiency revolving fund eerf 2 energy service company revolving fund esco fund 3 dede demand side management bidding dsm bidding study aims examine positive negative challenges posed existing policies need overcome identify opportunities policy improvement effectively promote energy efficiency implementation eerf dsm bidding suitably designed large company strong financial capacity esco fund welldesigned low collateral capacity company ee measures eerf mostly wellknown technologies proven generating energy savings esco fund suitable promoting new technologies according projectbased analysing basis dsm bidding designed widerange ee measures simple complex measures however main challenges improved ie technical financial risks bearing customers eerf default projects risk taken government insufficient encourage ee investment low interest rate esco fund expanding support complex technology instead wellknown technology dsm bidding
Chulalongkorn University,2019 nakhara journal environmental design planning rights reservedwelldeveloped context climate change concept adaptive capacity far applied extensively study world heritage management paper applies analytic framework adaptive capacity better understand institutional attributes enable hinder systemic adaptation managing world heritage sites boundaries practice expand due changing concepts heritage emerging management challenges drawing upon case studies southeast asia study proposes refined framework following dimensions adaptive capacity cognitive frames learning capacity resources formal governance measures organizational relationships agency
"King Mongkut's University of Technology North Bangkok, Phayathai Road,Wang Mai, Pathumwan Institute of Technology, Pathumwan Institute of Technology, National Science and Technology Development Agency (NSTDA), Chulalongkorn University",2019 authorsthis research aims evaluating performance combined system biochar gasification sorptionenhanced watergas shift reaction sewgs synthesis gas production effects mangrovederived biochar gasification temperature pattern combined gasification sewgs amount steam co2 added gasifying agent sewgs temperature studied work performances combined process examined terms biochar conversion gaseous product composition co2 emission results revealed hybrid sewgs using onebody multifunctional material offered greater amount h2 similar amount co2 emissions compared separated sorbentcatalyst material gasification temperature 900 °c provided highest biochar conversion ca 987 synthesis gas production found depend upon amount water co2 added sewgs temperature higher amounts h2 observed increasing amount water temperature sewgs system
"Ho Chi Minh City University of Technology and Education, University of Architecture, Chulalongkorn University",2019 ieeesaving energy one biggest concerns nowadays order deal lacking fossil fuel climate change one possible approach using home energy management system hems monitor manage electrical usage residential user one useful feature hems capability detecting identifying electrical appliances order assign appliances join many saving energy programs timeofuse demand response paper propose appliance classification approach based knearest neighbors knn technique knn extensively used classification algorithm owing simplicity ease implementation effectiveness inputs used calculate euclidean distance knn root mean square rms voltage current active power appliance also implement hems prototype includes many smart plugin devices mqtt server appliance classification results show knn classifier suitable approach appliance classification feature hems
"Chulalongkorn University, EPFL",2018 elsevier ltdbiomass one encouraging renewable energy sources mitigate uncertainties future energy supply address climate change caused increased co2 emissions conventionally thermal energy produced biomass via combustion process low thermodynamic efficiency conversely gasification biomass integrated innovative power generation technologies solid oxide fuel cell sofc offers much higher conversion efficiency typically energy conversion process multiple conflicting performance criteria capital operating costs annual profit thermodynamic performance environment impact multiobjective optimization moo methods used found optimal compromise objective function space also acquire corresponding optimal values decision variables work investigates integration optimization sorption enhanced steam biomass gasification seg sofc gas turbine gt system production power heat eucalyptus wood chips energy system model firstly developed aspen plus simulator five main units 1 seg coupled calcium looping hydrogenrich gas production 2 hot gas cleaning steam reforming 3 sofcgt converting hydrogen electricity 4 catalytic burning co2 compression 5 cement production purge cao stream seg unit design operating variables conversion system optimized annual profit annualized total capital cost operating cost exergy efficiency using moo finally implementation purpose two selection methods parametric uncertainty analysis performed identify good solutions paretooptimal front
"Silpakorn University, King Mongkut's University of Technology North Bangkok, Suranaree University of Technology, Universiti Malaysia Pahang, Chulalongkorn University",2018 elsevier bvthe concern carbon dioxide co2 emissions main contribution greenhouse gases emerged important issue environmental impact adsorption co2 porous solid materials proven one efficient techniques co2 capture technologies present work attempted made improve property porous solid materials caobased sorbent applied hightemperature co2 capture caco3 caobased alumina synthesized using precipitation technique addition sulfonic single chain sds gemini 12carbon hydrophobic chains 3carbon alkyl spacer 12312 surfactants controllingmodifying physical properties studies showed addition anionic surfactants affected phase formation polymorph caco3 stronger effect observed gemini surfactant synthetic caco3 derived form cao applied capturing co2 600 °c 15 vv co2 n2 balanced results showed cao synthesized adding gemini surfactant offered higher co2 sorption capacity single chain surfactant incorporating calcium alumina using coprecipitation technique addition gemini surfactant showed good impact co2 capture performance increase co2 sorption capacity observed however sintering effect still yet resolved addition gemini surfactant co2 sorption capacity decreased upon multiple cycles co2 capture
"Suan Sunandha Rajabhat University, Mahanakorn University of Technology, Chulalongkorn University",2019 primrose hall publishing groupthis study examines relationship natural environment circular economy asean region better understanding factors like carbon emission renewable energy consumption total natural resource rent plant species selected reflect idea natural environment circular economy ce generation municipal waste per capita generation municipal waste per gdp generation waste per dmc calculated direct measures empirical investigation panel regression models like ols regression fixed effect random effect models applied comparing coefficients hausman lagrange multiplier tests found carbon emission factors 1 renewable energy consumptions shown significant influence whereas generation waste per gdp significant positive influence tnrr significant negative tnrr noe full sample study third indicator ofce generation waste per dmc effect ghge rec positively significant ps effect positive significant ols regression estimator additionally study considered first second log difference three measures ce causal impact indicators natural environment study reasonably provided significant contemporary addition literature circular economy environment developed developing economies additionally study findings providing excellent understanding study relationship environmental factors ce asean highly recommended students relevant fields academics researchers use research documented evidence
Chulalongkorn University,2019 econjournals rights reservedthailand classified one ten countries high risk longterm climate change due greenhouse gas emission directly connected population size urbanization 2019 bangkok 2070 communities onethird slum communities increasing greenhouse gas emissions research proposes set potential factors influencing community engagement initiatives achieve low carbon community slum areas case studies four slum communities bangkok qualitative research found factors influencing strength engagement factors influencing community motivation achieve low carbon communities still low consequently research provides new guidelines four practical activities 1 promoting creation internal community network contribute trust positive social norms 2 promoting greenhouse gas emission reducing behaviors adjusting attitudes toward climate change issues 3 promoting proper relationships bangkok metropolitan administration bma communities
"Environmental Research and Training Center, Mahidol University, Chulalongkorn University, Ramkhamhaeng University, Royal Irrigation Department",2019 chulalongkorn university environmental research institute rights reservedrecent evidence key issues climate change thailand presented first part thailand’s second assessment report climate change 2nd trac report highlights key findings including 1 significant countrywide warming 130oc past 48 years 19702017 b significant changes rainfall patterns smaller spatial finer temporal scales c significant changes temperature rainfall extreme events last fourfive decades d significant decrease frequency tropical cyclones entering thailand e significant rise sea level seas around thailand higher rates global average f significant projected increases temperature rainfall thailand 2100 first part 2nd tarc provides comprehensive updated analysis climate change impacts thailand used authoritative reference building understanding awareness well designing adaptation mitigation strategies moreover serve repository scientific information support research related impact adaptation vulnerability climate change regular assessment national climate change impacts essential informing national policy allow policymakers assess priorities set meaningful targets line country’s international obligations climate change agreement
"Chulalongkorn University, Mahachulalongkornrajavidyalaya University",2019 authorsthis research aims forecast future economic environmental growth next 16 years 20202035 according governments strategic framework applying second order autoregressivestructural equation model second order autoregressivesem model validated various measures fits best model standards meets criteria goodness fit absent issues heteroskedasticity multicollinearity autocorrelation nonnormality proposed model distinct alternatives produces optimal outcome mean absolute percentage error mape 102 root mean square error rmse 151 comparison results carried compare values models namely regression linear model ml model back propagation neural network bp model artificial neural natural model ann model gray model autoregressive integrated moving average model arima model second order autoregressivesem model appropriate longterm forecasting 20202035 accounts specifics thai government strategy set industry 40 policy framework results longterm analysis indicate current political policy politi will result continuous economic growth gross national product gnp growth rate will climb 645 per annum 2035 environment negatively affected study predicts co2 emissions will rise 9752 mt co2 eq 2035 forecasting model also reflects economy factor adjustment ability equilibrium stronger environment factor shows relationship factors causal addition political policy politi economy econ environment environ factors found direct indirect effects results study illustrates industry 40 policy still inefficient carbon dioxide emissions projected higher threshold environment hazards disasters set limit 80 mt co2 eq 2035 effect policy will put environment risk government must take immediate action respond urgency thus second order autoregressivesem model remains significant model embedded adjustment ability equilibrium applicability various contexts different sectors introduced model vital tool assisting national government create policy effective sustainable lead positive development nation second order autoregressivesem model used resource management public policy private enterprise
Chulalongkorn University,2019 aidic servizi srlco2 causes global issues climate change global warming main sources gas energy consumption power plants natural gas processing absorption technology amine solution 2diethylaminoethanol deae promising method remove co2 processes calculate basic parameters diffusivity flow fluids design absorption equipment fundamental properties density viscosity needed measured therefore objective work measure density viscosity aqueous solution deae entire concentration range 01 mole fraction temperature ranging 3080 °c results present densities deae decrease increase mole fraction temperature solution also viscosities ranges mole fraction deae decrease temperature increases however viscosities increase mole fraction deae 04 become lower furthermore correlations redlichkister equation wilson model grunberg nissan equation chauhan polynomial equation applied represent results predict data equipment design among redlichkister equation suitable model represent results lowest percent average absolute deviation aad 01590 19413 density viscosity
Chulalongkorn University,2018 authors published elsevier ltdin year end 2014 thailands ministry energy launched new five energy strategic plan s named thailand integrated energy blueprint tieb catch global dynamic factors economic social environmental fluid aspects energy industry six contexts needs address forming sustainable energy sector 1 economys prospect growth investors confidence 2 risk economic uncertainty energy price fluctuations 3 environmental issues climate change 4 reliance imported energy deficit trade balance 5 cost living energy expense 6 social conflict lack data transparency scenario analysis together energy accounting model leap 1 used paper two scenarios reference scenario ref blueprint scenario blu analyzed illustrate picture thailands energy sector 2014 2036 ref underlines continuation current government policies 2014 meanwhile blu aims integrating plans tieb address changing challenging contexts thailand will encounter future keeping balance financial cost benefit potential environmental impacts thailands energy consumption forecasted increase 18 times ref 15 times blu 2036 compared 2013 net energy import will continuously increase 2013 accounting 48 primary energy demand might reach 84 ref within 2036 hand blueprint scenario will decrease imported energy 72 2036 2
"Chulalongkorn University, Chulalongkorn University",2019 elsevier bvthe carbon dioxide reforming methane one processes used tackle global warming reducing carbon dioxide one harmful greenhouse gases catalytic reaction methane produces syngas although noble metals good candidates process cost scarcity limit uses nonnoble metals hand satisfactory activity cost interest except stability coke formation main deactivation scheme dry reforming reaction therefore study enhanced stability found bimetallic system ni catalysts via introduction co carried work activity coke resistance studied mono bimetallic system nibased catalysts 10wt supported γal2o3hy zeolite prepared via solgel method activity testing performed fixedbed reactor unity feed volume ratio atmospheric pressure 973 k ni–co bimetallic system exhibits higher activity monometallic either pure ni co due higher number active sites confirmed co chemisorption stability testing high stability found bimetallic system verified timeonstream testing addition higher reduction temperature bimetallic system via analysis using h2tpr also suggested stronger metalsupport interaction may decrease bonding strength coke surface leading lower deactivation
"Chulalongkorn University, Thailand Science Park, Chulalongkorn University",2020 authorsfluidized bed gasifier promising technology respect converting biomass useful energy bed agglomeration operational challenge arises fluidized bed gasification rice straw raw materials rice straw contains high amounts potassium components may lower melting point ash causing bed agglomeration using alternative bed materials alumina place silica mitigate problem thailand rice straw agricultural byproduct rice milling processes produced large quantities every year usually rice straw management comprises open field burning releases greenhouse gases particulate matter pollutants paper behaviors bed agglomeration defluidization investigated fluidized bed gasification rice straw using silica alumina bed materials effect percentage ratio silica alumina 0100 2575 5050 7525 1000 examined operating parameters follows rice straw particle size 425–850μm reaction temperature 700–900 °c equivalence ratios er 02 04 results showed percentage ratio silica alumina 0100 700 °c extended defluidization time 60 min effect equivalence ratio bed agglomeration found apparently heightened high temperature result semedx analysis showed major elements linkage point agglomerated particle si k ca regard proportion alumina bed temperature conclusion low temperature agglomerate formation explained k2ocaosi2o phase diagram results investigation applied biomassfluidized bed gasification bed agglomeration entails plant shutdown expensive terms maintenance
